"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",2,2,1,8,9,11,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,9,12,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,9,13,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,9,14,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,9,15,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,9,16,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",1,2,1,2,10,1,"3","230321_1349",1,1,0,"normal","high","GT",1,0,0,1,1,2
1,"History",2,2,1,2,10,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,2,10,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,2,10,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,1,1,4,11,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",2,2,1,4,11,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,4,11,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,1,4,12,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",2,2,1,4,12,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,4,12,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,4,12,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,4,12,5,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,4,12,6,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,13,1,"3","230321_1349",1,0,0,"normal","high","GT",1,0,0,1,1,3
1,"History",2,2,1,11,13,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,1,6,14,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",2,1,1,6,14,2,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,3
1,"History",2,1,1,11,15,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,3
1,"History",2,2,1,11,15,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,5,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,6,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,7,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,11,15,8,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,3
1,"History",2,2,1,10,16,1,"3","230321_1349",1,0,0,"normal","high","GT",1,0,0,1,1,4
1,"History",2,1,1,4,17,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",2,1,1,4,17,2,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,4,17,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,4,17,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
