match,round,player_choice,computer_choice,id,treatment,perfect_quiz
26,2,A,A,165,24,1
29,1,B,A,4,23,0
30,1,A,B,796,21,1
28,1,B,B,1426,20,0
28,3,B,B,291,24,1
29,1,A,B,1054,15,1
28,2,B,B,302,24,0
56,1,B,B,1486,9,1
59,1,B,A,1570,9,1
28,3,B,B,432,20,1
26,2,B,B,1267,20,1
28,3,B,B,1366,20,1
26,1,A,A,225,19,1
58,2,B,B,852,9,1
27,1,A,B,893,20,0
28,3,B,B,63,15,1
30,1,A,A,1484,24,1
28,1,A,A,193,23,1
57,2,A,A,1552,7,0
29,1,A,B,221,20,0
30,2,B,B,1081,21,1
59,2,B,A,1492,7,0
30,3,B,B,181,15,1
30,1,B,A,1322,15,1
27,1,B,B,1300,21,1
28,2,B,B,1328,15,0
60,1,B,B,1447,9,0
57,2,A,A,545,7,1
29,1,A,B,256,20,0
58,2,B,B,1570,9,1
28,3,B,B,1454,21,1
26,2,A,A,551,19,1
26,2,B,A,407,24,0
27,1,B,B,1397,21,1
60,1,B,A,841,7,1
58,2,B,B,1356,9,1
26,1,B,A,449,19,1
26,2,B,B,182,20,0
26,1,B,A,182,20,0
27,1,B,B,182,20,0
60,2,A,B,577,9,1
30,2,B,B,182,20,0
30,2,A,A,1159,19,0
58,1,A,A,216,7,1
58,1,B,B,342,9,1
28,3,B,B,125,15,1
26,2,B,B,161,21,1
30,3,A,A,1106,19,0
57,1,B,B,643,9,1
29,1,B,A,1300,21,1
26,1,A,A,85,23,1
28,3,B,B,171,20,1
28,1,B,B,183,20,1
28,3,B,B,183,20,1
26,1,B,A,32,23,1
30,2,B,B,1564,20,1
30,1,B,B,183,20,1
30,3,B,B,183,20,1
28,1,B,A,1369,19,0
58,1,A,A,1420,7,1
56,1,A,B,1334,9,0
30,3,A,B,1108,15,0
27,1,A,A,1278,23,0
27,1,A,A,1115,20,1
59,2,B,A,1243,7,0
29,1,A,A,1310,23,0
26,2,B,B,320,23,1
30,2,B,B,1090,21,0
57,2,B,B,485,9,1
29,1,B,B,1473,15,0
29,1,B,A,223,23,0
29,1,B,A,50,19,1
28,3,A,A,214,23,1
29,1,A,B,1052,23,0
30,1,B,A,1451,19,1
60,1,A,A,737,7,0
26,2,B,B,1008,19,1
30,1,A,B,185,20,1
30,2,B,B,1032,21,0
60,1,B,B,630,9,1
27,1,B,A,1565,23,1
28,3,A,A,1479,19,1
29,1,B,A,1547,23,0
29,1,A,B,403,23,1
28,1,B,B,1510,15,0
28,1,A,A,226,19,1
28,3,B,B,1232,21,0
57,2,A,B,186,9,1
59,2,A,B,186,9,1
28,3,B,B,536,15,1
27,1,A,A,787,23,1
57,1,B,A,1096,7,1
28,3,B,B,1084,24,1
56,2,A,B,619,9,1
57,1,B,B,609,9,0
28,1,A,A,654,19,1
28,1,B,B,121,21,1
26,2,B,A,1500,19,1
30,2,B,A,1511,20,1
30,3,B,A,1113,24,1
59,2,B,B,1594,7,0
30,2,A,A,187,23,1
28,2,B,B,671,24,1
30,1,A,A,187,23,1
56,2,A,B,294,7,1
30,1,A,A,1329,23,0
26,2,A,B,1516,15,1
29,1,A,B,1597,20,1
30,2,A,A,223,23,0
56,2,B,B,1224,9,0
58,1,A,A,496,7,0
58,2,A,B,914,7,1
30,2,A,A,1469,23,0
29,1,A,B,147,15,1
26,1,B,B,188,15,1
30,3,B,B,1076,19,1
30,3,B,B,1378,15,1
28,1,B,B,188,15,1
30,2,A,A,655,19,1
30,3,B,B,1065,21,0
28,2,B,B,1205,20,1
28,2,A,B,449,19,1
30,1,B,A,979,19,1
26,2,A,A,1301,23,0
28,2,A,B,437,21,1
28,2,A,A,1544,19,0
28,3,A,A,1301,23,0
27,1,B,A,30,23,1
28,3,A,B,147,15,1
28,3,B,B,72,19,1
30,2,A,A,1301,23,0
57,2,A,B,327,7,1
28,2,A,B,189,24,1
26,1,B,A,1088,23,1
28,1,A,B,323,23,1
59,1,B,B,111,9,1
30,2,A,A,341,19,1
30,2,B,B,669,15,1
57,1,B,B,191,9,1
30,2,B,B,1519,20,0
27,1,A,A,495,20,1
58,1,B,A,211,7,0
29,1,A,B,368,20,1
58,2,A,A,48,7,0
29,1,B,A,171,20,1
28,1,B,A,1018,20,0
27,1,A,A,658,19,1
28,1,B,A,1538,23,1
28,2,A,A,939,23,1
28,3,A,A,1202,21,1
30,3,A,A,656,19,1
56,2,B,B,190,9,1
59,1,B,A,606,9,1
26,1,A,A,780,23,1
57,2,A,A,865,7,0
59,2,B,B,190,9,1
60,1,B,B,190,9,1
26,1,B,A,563,21,1
56,2,A,B,1028,7,0
28,1,B,A,452,24,0
28,1,A,A,592,23,0
26,1,B,A,1573,20,0
58,1,B,B,132,9,1
28,1,B,A,774,21,0
28,3,A,B,1322,15,1
26,1,B,A,1260,19,1
30,2,B,A,8,19,0
28,1,B,B,160,20,1
28,1,B,A,96,20,1
27,1,A,B,180,23,1
30,2,B,B,200,15,1
58,1,A,A,1460,7,1
30,1,B,B,1318,21,1
28,1,B,A,112,19,1
30,1,B,A,658,19,1
30,1,A,A,178,19,1
30,3,B,B,120,20,1
27,1,A,B,29,15,1
28,1,A,A,3,24,1
59,2,B,B,527,7,0
30,3,B,B,1136,21,0
26,1,B,A,412,20,1
29,1,A,A,8,19,0
